text,kategori
"Suara dari NTT,Ganjar bohong.semua suaranya boooohong",pendukung_ganjar
HIDUP PRABOWOOOOO,pendukung_prabowo
"Program pak Ganjar menarik, tp di belakang pak Ganjar ada bu Mega males",pendukung_ganjar
"Pak Prabowo adalah pemimpin sejati. 
Semoga pk Prabowo menang dan rakyatnya makmur 👍💪",pendukung_prabowo
Mas Anies mas Anies,pendukung_anis
"Yuk 1 AMIN

#darisantriuntuknegeri
#kebangkitanislamindonesia",pendukung_anis
Tetap anis pokok nya,pendukung_anis
Anis sangat bodoh negata sendiri mau buka2 an kelemahan bodoh,pendukung_anis
❤❤❤❤❤❤hadir fetus Dari Saudi p  aniss,pendukung_anis
Bapak Prabowo tegas Daan tidak banyak bicara,pendukung_prabowo
Pak aji Prabowo maju2024 mantap,pendukung_prabowo
"Bacot lo nis penghianat, lu klo bukan pak prabowo ga mungkin jadi gubernur malah ngelunjak pengen jadi presiden.",pendukung_prabowo
CUKUP PAK PRABOWO JADI MENTRI PERTAHANAN ANIS BASWEDAN,pendukung_anis
Ganjar🥰,pendukung_ganjar
"Saya terlambat nonton debat ini, ternyata ada pertunjukan yang di tunjukkan oleh pak Prabowo, kepada publik bahwa pak brabowo tidak beretika 👎",pendukung_prabowo
"Gwa gedeg ama jwban anies di menit ke 1:24:00 masak ya yg dtnya tu apa jwabnya apa.  Simpel kok klw trllu byk penyebab polutan,  y bkin sumber O2 nya jd lebih banyak entah dg menambah pohon2 yg mengalirkan o2 lebih byk atau apa kek gtu.  Trus yg mslah d awal dia nanya ttg dana2 dari partai oposisi utk kampanye tu,  ya elah lupa diri banget sih,  jd gubernur emang dana lu dari mana?  Sumbangan daun mati gtu?  Mknya gwa dr awal gedeg ama si anis, g tau trma kasih bnget. Pas mlih cak imin aja tu 3 hri sblmnya mendtangi SBY dg menggandeng AHY jd cawapres ktnya, akhirnya sampe sekarang berlalu aja tnpa ngmong apa2 k SBY.. Trus debat bhas2 etika..  Tayiqqqq la..  Etika lu sndri aj kosong.",pendukung_anis
Prabowo lucu😂😂😂😂😂😢emosian banget sih pak prabowo😢😅😂tetap anis baswedan,pendukung_anis
Pak anis cerdas banget❤,pendukung_anis
aku cinta prabowo kiw kiw,pendukung_prabowo
Setuju sama pa prabowo saya lebih suka nada berbicara pa prabowo,pendukung_prabowo
Smngat pa Ganjar Pranowo 😊😊,pendukung_ganjar
"Kalimatnya  kurang  kwalitas bos,anis",pendukung_anis
Sikat koruptor pk ganjar pasangan anda kok nantivyang akan menang,pendukung_ganjar
Prabowo  aku  man uang  2juta,pendukung_prabowo
"Saya cuma mau saran terkait gagasan yang diberikan oleh Ganjar kan disitu ada yg membahas mengenai puskesmas, nah yg saya ingin berikan pendapat itu mengenai rumah sakit dengan biaya parkirnya yg bisa dibilang lumayan mahal masa sekarang dihitungnya per jam misal dirumah sakit parkirnya nyampe 3 hari ya itu bisa memberatkan si pengunjung pasiennya...semoga siapa saja yang menjadi presiden bisa menghapuskan biaya parkir dengan perhitungan perjam, kalo masih 5k nah masih normal kalo nyampe 25 atau 30 ribu perhari itu udh termasuk lumayan mahal...itu saja si sarannya semoga bisa dipahami 🙏🏻",pendukung_ganjar
Ok pak Prabowo yakin jadi persiden..,pendukung_prabowo
Ganjar Pranowo ♥️🔥🤟🙏,pendukung_ganjar
"​@@ndiboy-dl2tqiya ini debatin pak Prabowo gasii,  pak prabowo jg gbs diem aja sedangkan dia mantan jenderal yg di dasari jiwa yg tegas",pendukung_prabowo
gue curiga si anies dapet kunci pertanyaan dari sebulan yg lalu😂,pendukung_anis
prabowo menang anis menangissssssss mampus luuuuu,pendukung_anis
Pak Prabowo apa yg di maksudkan  Demokratik itu besar  ( luas )erti nya  bukan hanya sekadar di beri posisi di dlm politik  saja . . . .,pendukung_prabowo
"Dengan ini membuktikan bahwa bapak Prabowo ini tidak serius menjadi pemimpin, berbicara tentang negara saja sikap seperti itu, mau jadi apa negara ini.",pendukung_prabowo
Heran yah sebut2 namanya prabowo di visi misi.,pendukung_prabowo
Pak anies memang idola ku,pendukung_anis
"Semoga Anies Baswedan akan menjadi pemimpin yang makmur dan bisa menjadi panutan yang bagus untuk negara Indonesia, Anies Baswedan semoga menang menjadi presiden 2024 aminnn no 1 Dhe best sekali❤❤❤❤",pendukung_anis
