text,kategori
"Kelihatan sekali calon yg berkwalitas, punya kapasitas dan memiliki kompetensi, integritas dan layak sbg panutan",random_Netral
Iniharitulisawrangkanbukanakanmukasimykamalmuoksiapakahejenbuatsiapakahtipusiapakahringkismohheheawrangapajalantaaraptodakampanikurupsimuhehesiapakuejentamantamubybysakidsaciamu,random_Netral
WowsiapakurinduGanjarjalanapasalkiprankurinduiapasalrindubuatsaiyasamuatawlawngbuleluuharikabuatkanapasalsakarangmohlakimykamalmukasiakancintaawrangmukasitokasiapakahtipubuatsudakuciarikuBatulawrangmohmuGanjarbuatawrangkanmeledudutmuphotomohlacekapkabuatangmuhahalumamsertamu,ganjar_Netral
Kasian pak ganjar,ganjar_Netral
Buktinya ganjar anis kmu kalah pilpres,anis_Netral
Anis cuma pinter ngomong waktu jadi gubernur DKI banyak ngibul tidak sesuai fakta. Tapi sekarang Kabar nya Anis banyak hutang nyungsep ke got jadi gembel politik 🎉😂,anis_Netral
1❤1,random_Netral
Siapa yg menonton vidio ini setelah bapak prabowo terpilih❤,prabowo_Netral
aku cinta prabowo kiw kiw,prabowo_Netral
Assalamualaikum  ys betul  harus di selesaikan   😅 abah luar biasa 😅,random_Netral
sabar sabar 😅,random_Netral
Asssalamualaikum 😅😅😅,random_Netral
Apapun yg terbaik utk memimpin RI sebenarnya hanya Bpk Prof Dr Anes Rasyid Baswedan dan yg terburuk adalah Prabowoh.,prabowo_Netral
Ganjar menghilang.nyentap d telam bumi,ganjar_Netral
kampung istriku,random_Netral
DANI.      PUTRA,random_Netral
PUTRA,random_Netral
JOWKOI INDONESIA 78 Ibu INDONESIA 78 Ibu INDONESIA 78 Ibu INDONESIA 78 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,random_Netral
"Abah Anis Abah Anis..........
Apa sih Yg Abah Anis mau rubah??
Kan pohon 🌲 pohon di Monas Abah Anis udah ubah menjadi gundul.",anis_Netral
kami cita guruh,random_Netral
prabowo menang anis menangissssssss mampus luuuuu,anis_Netral
Yg pakai baju putih itu fir aun indonesia,random_Netral
Orchestra nya apa ya,random_Netral
wow anis pintar ngmong ya tpi kerja nol mw ketawa tpi takut dosa,anis_Positif
Assalamualaikum abah anies yang kami hormati kami cintai  semoga sehat selalu  orang baik ya tetap orang baik,anis_Netral
"PAK PRABOWO DAN PAK JOKOWIDODO ??

MUMPUN PEMILU PRESIDEN 2024 sampai 2abad24 tahun akan datang sehingga PAKAI SEMEN DI COR BUAT KANTOR GEDUNG PUTIH DI INDONESIA SUPAYA BERSAMA AHOK COR BUAT BEKERJA,2024 🙏🙏🙏🙏",prabowo_Netral
"❤❤❤ ❤❤
❤❤❤ ❤❤",random_Netral
🤣🤣🤣terngiang-ngiang debat pilpres 2024 jadi nonton lagi siaran ulangnya,random_Netral
Bismillahhirrohmannirrohim  mei tgl 1 rabu thn 204 kamis tgl 2  thn 204 jum at tgl 3 mei thn 204,random_Netral
Bismillahhirrohmannirrohim  mei tgl 1 rabu thn 204 kamis tgl 2  thn 204 jum at tgl 3 mei thn 204,random_Netral
"Kasihan sekali panies gak punya,semangat sama sekali apa belum dapat kursi mentri pendidikan lagi p anies",anis_Netral
51:48,random_Netral
Rewatch gegara ayang di sebut² di mk,random_Netral
Anis berwibawa pintar dan tanggap😊,anis_Netral
Treed,random_Netral
prabowo menang,prabowo_Netral
Kerjakan kerjakan. Pala bapak kaw lah.  Lumayan lah hiburan Lihat ambisi nya si aniss edan,anis_Netral
"Kalo keinget debat ini Yank suka ngadu domba yo iku anis sama jnggar ...
jangan di masukin kabinet pak prabowo ...bikin gaduhh anis tak tau diri kacang Lupa kulitnya ...untung nyungsep kau aniss..
Gak pantas jdi pemimpin si anisa..doyan ngomong tpi tak pinter kerja.....
Cari yank sudah bukti dan akhirnya Prabowo yank Resmi menang ..",anis_Netral
Sugnhfcni,random_Netral
Amin bapak menang pemilu ini Prabowo menang pemilu kali ini aku pilih sama Prabowo kalinya enggak usah beli Prabowo pilih Anies aja aku pilih Prabowo Prabowo menang Prabowo menang Prabowo Prabowo menang,anis_Netral
Aminn mas pak prabowo gibran,prabowo_Netral
Prabowo  aku  man uang  2juta,prabowo_Netral
GB,random_Netral
Sorry yeee,random_Negatif
ANIS juga aku gk ush PAMILO,anis_Netral
GAJANTAHI,random_Netral
Nak kalian pasangkan lah seratus bukan bapak saya beseeta politiknya kyainya itulah buyan bengak tu jadi kenapa harus tergantung sama satu orang,random_Netral
Blm selesai euy pemilihan teh hoyo gera menting keun ekonomi kha,random_Netral
"Pak Prabowo kami Satria Mida Indonesia, . Siap Mendukung Bapa. Allohu Akbar....",prabowo_Netral
sok bangga anis baweldah gubernur pertama yg memberikan  perizinan cuaaaxx,anis_Positif
"Didebat pertama ini sdh keliatan wan abud alias tukang obat jenggot kumis anis baweldah memainkan kata"" manisnya yg membuat orang terbuai akan janji manisnya 
kang obat dilawan 😂😂😂",anis_Netral
Dfdfgwfgsg Gard gua hhkh,random_Netral
2 ❤❤❤,random_Netral
01 Paslon badut pandai merangkai kata saja,random_Netral
Untuk anakku Nisa ayah komintar disini supaya kamu tau nanti kalau sudah dewasa kamu melihat ayah disini ikut serta mendukung bapak Prabowo Subianto ❤,prabowo_Netral
"Pak prabowo ini samat pintar ngeles, kiat bicara tentang angin dulu maksut dan omongan pak anis itu jika tida adak angin mungkin polusi tidak akan menyebar kemana mana, dan jika angin punya ktp otomatis dia akan bergerak mengiluti aturan layknya rakyat itu maksut dan tujauan wowo wowo. Salam akal sehat buat wowo dan para pemujamu😂😂",anis_Netral
"Prabowo mau negakkan hukum, wakil anda saja sudah melanggar hukum dari awal, mau bilang netral emang gak sadar apa anda dari awal sampai ahkhir penhitungan suara, lucu lucu",prabowo_Netral
